id,title,full_question,difficulty,topic,companies
672,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,"Flipkart, PayPal, Microsoft"
673,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Infosys, Meta"
674,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,"Uber, Microsoft, Meta"
675,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Hard,Binary Search,Microsoft
676,LRU Cache,Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class with get and put operations in O(1) average time complexity.,Hard,HashMap,"Flipkart, Wipro"
677,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Easy,Graphs,Infosys
678,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Easy,Trees,"Apple, Microsoft"
679,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,"Microsoft, Google"
680,Number of Islands,"Given an m x n 2D binary grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically.",Easy,Graphs,"Uber, Amazon, Google"
681,Coin Change,"You are given an integer array coins representing coins of different denominations and an integer amount. Return the fewest number of coins needed to make up that amount. If that amount cannot be made up, return -1.",Medium,Dynamic Programming,Apple
682,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Wipro, Microsoft, Oracle"
683,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if open brackets are closed by the same type of brackets and in the correct order.",Medium,Stack & Queue,"Google, Flipkart, Goldman Sachs"
684,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Medium,Arrays,Infosys
685,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,PayPal
686,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Medium,Linked List,"TCS, Google, Amazon"
687,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Easy,Arrays,Adobe
688,Two Sum,"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. Return the answer in any order.",Medium,Arrays,Meta
689,Binary Tree Level Order Traversal,"Given the root of a binary tree, return the level order traversal of its nodes' values (i.e., from left to right, level by level).",Medium,Trees,"Wipro, Google, PayPal"
690,Reverse Linked List,"Given the head of a singly linked list, reverse the list and return the reversed list. You must reverse the nodes themselves and not just the values.",Easy,Linked List,"Adobe, PayPal"
691,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Medium,Binary Search,"Adobe, Wipro, Amazon"
692,Longest Substring Without Repeating Characters,"Given a string s, find the length of the longest substring without repeating characters. A substring is a contiguous sequence of characters within a string.",Easy,Strings,"Infosys, Wipro, Goldman Sachs"
693,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,"Uber, Google"
694,Search in Rotated Sorted Array,"There is an integer array nums sorted in ascending order (with distinct values), but possibly rotated at an unknown pivot index. Given the array nums and an integer target, return the index of target if it is in nums, or -1 otherwise.",Easy,Binary Search,"Apple, Flipkart, Google"
695,Trapping Rain Water,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.",Hard,Arrays,Infosys
696,Kth Largest Element in an Array,"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in sorted order, not the kth distinct element.",Hard,Heap & Priority Queue,"Goldman Sachs, Uber, Oracle"
